state_full,Year,games
Australian Capital Territory,2012,3
Australian Capital Territory,2013,3
Australian Capital Territory,2014,3
Australian Capital Territory,2015,3
Australian Capital Territory,2016,3
Australian Capital Territory,2017,3
Australian Capital Territory,2018,3
Australian Capital Territory,2019,3
Australian Capital Territory,2021,2
Australian Capital Territory,2022,4
Australian Capital Territory,2023,3
Australian Capital Territory,2024,3
New South Wales,2012,13
New South Wales,2013,13
New South Wales,2014,13
New South Wales,2015,12
New South Wales,2016,13
New South Wales,2017,12
New South Wales,2018,12
New South Wales,2019,11
New South Wales,2020,5
New South Wales,2021,11
New South Wales,2022,13
New South Wales,2023,11
New South Wales,2024,13
Queensland,2012,22
Queensland,2013,22
Queensland,2014,22
Queensland,2015,22
Queensland,2016,22
Queensland,2017,21
Queensland,2018,19
Queensland,2019,24
Queensland,2020,79
Queensland,2021,24
Queensland,2022,21
Queensland,2023,22
Queensland,2024,21
South Australia,2012,24
South Australia,2013,22
South Australia,2014,23
South Australia,2015,21
South Australia,2016,23
South Australia,2017,25
South Australia,2018,22
South Australia,2019,22
South Australia,2020,22
South Australia,2021,23
South Australia,2022,22
South Australia,2023,31
South Australia,2024,31
Unknown,2012,16
Unknown,2013,17
Unknown,2014,18
Unknown,2015,19
Unknown,2016,19
Unknown,2017,21
Unknown,2018,21
Unknown,2019,22
Unknown,2020,16
Unknown,2021,24
Unknown,2022,20
Unknown,2023,22
Unknown,2024,24
Victoria,2012,106
Victoria,2013,107
Victoria,2014,105
Victoria,2015,103
Victoria,2016,104
Victoria,2017,103
Victoria,2018,105
Victoria,2019,102
Victoria,2020,23
Victoria,2021,98
Victoria,2022,104
Victoria,2023,105
Victoria,2024,102
Western Australia,2012,23
Western Australia,2013,23
Western Australia,2014,23
Western Australia,2015,26
Western Australia,2016,23
Western Australia,2017,22
Western Australia,2018,25
Western Australia,2019,23
Western Australia,2020,17
Western Australia,2021,25
Western Australia,2022,23
Western Australia,2023,22
Western Australia,2024,22
